"","pub_date","main","score"
"1","2008-01-01","Killing Dogs in Training of Doctors Is to End",0
"2","2008-01-01","New Year's Day",0
"3","2008-01-01","Correction",1
"4","2008-01-01","A TYPICAL WINTER DAY FOR CAUCUSING",0
"5","2008-01-01","The Year That Was",0
"6","2008-01-01","A Crackdown on Recycling Spurs Some Vigilance",0.25
"7","2008-01-01","Religious and Liberal",1
"8","2008-01-01","Paid Notice: Memorials   SACHS, EPHRAIM",0
"9","2008-01-01","Michigan Will Miss Carr When He's Gone",0
"10","2008-01-01","Tennessee: Police Kill Shooting Suspect",-0.6
"11","2008-01-01","Still Reeling After All These Years",0
"12","2008-01-01","Did we dodge a bullet?",-0.5
"13","2008-01-01","In 2007, Some Giants Went Smaller",0
"14","2008-01-01","Paid Notice: Memorials   SILVA, FABIO",0
"15","2008-01-01","Arts, Briefly ",0.5
"16","2008-01-01","Outside Groups Spend Heavily and Visibly to Sway '08 Races",-0.285714285714286
"17","2008-01-01","Paid Notice: Deaths   BALABAN, LAWRENCE DAVID",-0.166666666666667
"18","2008-01-01","Huckabee and the Intelligence Report on Iran",0.25
"19","2008-01-01","Lawyer for Clemens Explains Strategy",0
"20","2008-01-01","Paid Notice: Deaths   LEO, ELINORE (NEE WELLINGTON)",-0.142857142857143
"21","2008-01-01","Crisis in Kenya",-0.5
"22","2008-01-01","Paid Notice: Deaths   SHECTMAN, RALPH L.",-0.2
"23","2008-01-01","A Writer, a Muse, Their Laundry",0
"24","2008-01-01","Iowa Is Suddenly News Central",0
"25","2008-01-01","Make 'Em Laugh",0
"26","2008-01-02","U.S. Diplomat and Driver Are Shot Dead in Sudan",-0.4
"27","2008-01-02","Clinton's 2-Minute Appeal",0.333333333333333
"28","2008-01-02","What You Get for ... $450,000",-1
"29","2008-01-02","Deign or Reign?",0
"30","2008-01-02","Council Plans Session on Deutsche Bank Fire",0
"31","2008-01-02","MF Global Fined Over Hedge Fund Losses",-0.4
"32","2008-01-02","Arts, Briefly ",0.5
"33","2008-01-02","Losing an Edge, Japanese Envy India's Schools",-0.5
"34","2008-01-02","Paid Notice: Deaths   BRENER, BERNARD J.",-0.2
"35","2008-01-02","Drowning in Special-Interest Money",-0.333333333333333
"36","2008-01-02","30 Dead in Baghdad's Worst Attack in Months",-0.6
"37","2008-01-02","Not Quite an 'Ambush'",-1
"38","2008-01-02","News Summary",0
