"","main","kicker","section_name","pub_date"
"11","Is Norway's Oil Pool Deep Enough?; Aging Baby Boomers Loom Over a Fund Financed by Petroleum",NA,"Business","2005-01-01 00:00:00"
"19","Political Tones To Problems Of TV Maker In China","INTERNATIONAL BUSINESS","Business","2005-01-01 00:00:00"
"40","The Seller of the Goose That Laid a Golden Egg",NA,"Business","2005-01-01 00:00:00"
"61","Late Stock Market Rally Makes 2004 a Winning Year","THE MARKETS: STOCKS AND BONDS","Business","2005-01-01 00:00:00"
"62","Key Rates","THE MARKETS","Business","2005-01-01 00:00:00"
"80","BUSINESS DIGEST",NA,"Business","2005-01-01 00:00:00"
"84","World Business Briefing | Europe: Russia: Pipeline To End Near Japan",NA,"Business","2005-01-01 00:00:00"
"93","U.S. Opposes Pension Deal Between United and Its Pilots",NA,"Business","2005-01-01 00:00:00"
"106","Lilly Shares Fall on Report About Prozac Documents",NA,"Health; Business","2005-01-01 00:00:00"
"108","A.J. Richard, 95, Tinkerer Who Built Appliance Chain",NA,"Business; Obituaries","2005-01-01 00:00:00"
"136","Drugstores Fret as Insurers Demand Pills by Mail",NA,"Front Page; Business","2005-01-01 00:00:00"
"187","CONFIDENCE RETURNS","MARKET WEEK","Business","2005-01-02 00:00:00"
"226","WHY CAN'T WE BE FRIENDS?","OPENERS: SUITS","Business","2005-01-02 00:00:00"
"228","For Those at the Wrong End of the Horns","OPENERS: THE GOODS","Business","2005-01-02 00:00:00"
"239","A Businesslike Approach to Life","OFF THE SHELF","Business; Books","2005-01-02 00:00:00"
"307","The Envelopes, Please","NEWS AND ANALYSIS","Business","2005-01-02 00:00:00"
"327","A Hot Ticket (After Politics)","OPENERS: REFRESH BUTTON","Business; Washington","2005-01-02 00:00:00"
"342","Recast the Hardware? Easy. Now Try the Mind-Set.","OFFICE SPACE: ARMCHAIR M.B.A.","Technology; Business","2005-01-02 00:00:00"
"371","A Big Bite of the World","OFFICE SPACE: THE BOSS","Business","2005-01-02 00:00:00"
"380","Burning The Market At Both Ends","MARKET WEEK","Technology; Business","2005-01-02 00:00:00"
"409","Corrections",NA,"Corrections; Business","2005-01-02 00:00:00"
"431","In Great Expectations for Stocks, Danger for Pension Plans","STRATEGIES","Business","2005-01-02 00:00:00"
"449","May Your Portfolio Have a Pleasant Afterlife","EVERYBODY'S BUSINESS","Business","2005-01-02 00:00:00"
"460","Greatest (And Lamest) Deals of 2004","DEALBOOK","Technology; Movies; Business","2005-01-02 00:00:00"
"484","DataBank; A Year That Lived Up to Expectations",NA,"Business","2005-01-02 00:00:00"
"488","Battle Pay Is Better When Wall Street Is the Battlefield","OPENERS: THE COUNT","Business","2005-01-02 00:00:00"
"489","Rebels With a Cause, and a Business Plan","NEWS AND ANALYSIS","Business","2005-01-02 00:00:00"
"505","The Meek Shall Inherit The Bill","ECONOMIC VIEW","Business","2005-01-02 00:00:00"
"523","SUNDAY INTERVIEW: WITH SCOTT McNEALY; New Year, New Scraps For Sun's Feisty Chief","Sunday Interview","Technology; Business","2005-01-02 00:00:00"
"529","After Writing a Will, You Still Have I's to Dot","SUNDAY MONEY: PLANNING","Business","2005-01-02 00:00:00"
"553","NOT QUITE A RING","OPENERS: SUITS","Business","2005-01-02 00:00:00"
"671","Editors' Note; SPECIAL TODAY: Outlook",NA,"Front Page; Corrections; Editors' Notes; Business","2005-01-03 00:00:00"
"710","Deal Expected For Rayovac To Buy Maker Of Lawn Gear",NA,"Business","2005-01-04 00:00:00"
"713","Times Company Buys a Stake In Boston Metro, a Free Paper",NA,"Business","2005-01-04 00:00:00"
"714","THE MARKETS:  Cash Flow in '04 Found Its Way Into Dividends","Market Place","Business","2005-01-04 00:00:00"
"720","COMPANY BRIEFS",NA,"Business","2005-01-04 00:00:00"
"733","Thai Resort Tries to Regain Its Footing","INTERNATIONAL BUSINESS","Business; Washington","2005-01-04 00:00:00"
"741","Finding the Right Balance Between Power and Weight","BUSINESS TRAVEL","Technology; Business","2005-01-04 00:00:00"
"757","Market Owner Agrees to Buy Pacific Exchange",NA,"Business","2005-01-04 00:00:00"
"768","Technology Briefing | People: Sony Names Technology Executive",NA,"Business","2005-01-04 00:00:00"
"781","New Chief Editor at Publishers Weekly",NA,"Business; Books","2005-01-04 00:00:00"
"782","THE MARKETS: CURRENCIES",NA,"Business","2005-01-04 00:00:00"
"787","Editors' Note; About World Business And the Stock Tables",NA,"Corrections; Editors' Notes; Business","2005-01-04 00:00:00"
"792","Shopping Spree That Wasn't As Markdowns Hurt Retailers",NA,"Business","2005-01-04 00:00:00"
"795","Born to Run, Except When Behind a Slow-Moving Cow","BUSINESS TRAVEL: FREQUENT FLIER","Business","2005-01-04 00:00:00"
"801","Ex-F.B.I. Agent Defends Role in Fraud Case",NA,"Business","2005-01-04 00:00:00"
"821","People","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA","Business","2005-01-04 00:00:00"
"822","Accounts","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA","Business","2005-01-04 00:00:00"
"829","Technology Briefing | Telecommunications: SBC Forms Venture With 2Wire",NA,"Technology; Business","2005-01-04 00:00:00"
"847","World Business Briefing | Americas: Brazil: Record Trade Surplus",NA,"Business","2005-01-04 00:00:00"
"860","MEMO PAD","BUSINESS TRAVEL","Technology; Business","2005-01-04 00:00:00"
"865","No End in Sight to Supply of Cheap TV's",NA,"Business","2005-01-04 00:00:00"
"872","India's Boom Spreads to Smaller Cities","INTERNATIONAL BUSINESS","Technology; Business","2005-01-04 00:00:00"
"881","In Pursuit of Elite Status, Nothing Is Too Extreme","ON THE ROAD","Business","2005-01-04 00:00:00"
"882","Technology Briefing | Telecommunications: AT&T Will Use InPhonic Software",NA,"Technology; Business","2005-01-04 00:00:00"
"889","The delicate task of showing corporate concern for the tsunami victims, without seeming promotional.","THE MEDIA BUSINESS: ADVERTISING","Business","2005-01-04 00:00:00"
"890","Ex-Chairman of Big Board Seeks Copy of Pay Report",NA,"Business","2005-01-04 00:00:00"
"897","Technology Briefing | Hardware: TiVo Introduces Mobile System",NA,"Technology; Business","2005-01-04 00:00:00"
"905","Key Rates","THE MARKETS","Business","2005-01-04 00:00:00"
"909","BUSINESS DIGEST",NA,"Business","2005-01-04 00:00:00"
"918","Before Christmas, Wal-Mart Was Stirring",NA,"Business","2005-01-05 00:00:00"
"923","One Ex-Officer Of Cendant Is Convicted In Fraud Case",NA,"Business","2005-01-05 00:00:00"
"933","Brazil Media Group to Reorganize With Eye on Stock Sale",NA,"Technology; Business","2005-01-05 00:00:00"
"937","Time Warner Unit To Buy Publisher Of Two Magazines",NA,"Business","2005-01-05 00:00:00"
"952","Who's the Top Convention Dog?","COMMERCIAL REAL ESTATE","Business","2005-01-05 00:00:00"
"989","Hewlett to Offer TV Media Hub",NA,"Technology; Business","2005-01-05 00:00:00"
"996","COMMERCIAL REAL ESTATE: REGIONAL MARKET -- Long Island; Expansion by Southwest Airlines Awakens a Drowsing MacArthur","Regional Market / Long Island","Business","2005-01-05 00:00:00"
"1000","Album Sales Expected to Show 1.6% Rise",NA,"Business","2005-01-05 00:00:00"
"1002","Few Takers for Payments From Microsoft Settlement","TECHNOLOGY","Technology; Business","2005-01-05 00:00:00"
"1007","Money From Microsoft",NA,"Technology; Business","2005-01-05 00:00:00"
"1016","Delta Plans To Streamline Fare System",NA,"Business","2005-01-05 00:00:00"
"1030","Apex Answers Accusations By TV Maker In China","TECHNOLOGY","Business","2005-01-05 00:00:00"
"1045","World Business Briefing | Americas: Canada: Train Contract Awarded",NA,"Business","2005-01-05 00:00:00"
"1049","Key Rates","THE MARKETS","Business","2005-01-05 00:00:00"
"1054","United Air Creditors Oppose Deal With Pilots",NA,"Business","2005-01-05 00:00:00"
"1060","Chairman of TV Azteca Is Charged With Fraud","INTERNATIONAL BUSINESS","Business","2005-01-05 00:00:00"
"1063","COMPANY BRIEFS",NA,"Business","2005-01-05 00:00:00"
"1074","BUSINESS DIGEST",NA,"Business","2005-01-05 00:00:00"
"1076","Fed Notes Disclose Worries That Inflation May Pick Up",NA,"Business","2005-01-05 00:00:00"
"1080","Bristol-Myers Seeks to Sell Excedrin Line",NA,"Business","2005-01-05 00:00:00"
"1083","For the Digerati, the Only Place to Be; Consumer Electronics Show to Gather the Great and the Geeks in Las Vegas",NA,"Technology; Business","2005-01-05 00:00:00"
"1084","3 Japanese Carmakers Gain Against Big 3 in the U.S.",NA,"Business","2005-01-05 00:00:00"
"1095","THE MARKETS:  Viacom is banking on changes at Paramount to pick up the bottom line, and so are investors.","Market Place","Movies; Business","2005-01-05 00:00:00"
"1096","COMMERCIAL REAL ESTATE",NA,"Business","2005-01-05 00:00:00"
"1097","Krispy Kreme to Reduce 2004 Reported Profit",NA,"Business","2005-01-05 00:00:00"
"1099","Ex-Chief of Federated Stores Is Indicted on Charge of Perjury",NA,"Business","2005-01-05 00:00:00"
"1105","Amid a global call for selflessness, new campaigns focus on self-improvement.","THE MEDIA BUSINESS: ADVERTISING","Business","2005-01-05 00:00:00"
"1133","A public service campaign aims to persuade retiring baby boomers to become volunteers.","THE MEDIA BUSINESS: ADVERTISING","Business","2005-01-06 00:00:00"
