"","main","kicker","section_name","pub_date"
"56","Citigroup’s Top Executives to Forgo ’08 Bonuses",NA,"Business Day","2009-01-01 00:00:00"
"59","Correction",NA,"Business Day","2009-01-01 00:00:00"
"98","Connecticut Bank Is Drawn Into Madoff Scandal",NA,"Business Day","2009-01-01 00:00:00"
"110","Buying Less Expensive Wine, and More of It",NA,"Business Day","2009-01-01 00:00:00"
"113","Trump Casinos Get Extension on Debt",NA,"Business Day","2009-01-01 00:00:00"
"114","Pepsi and David Beckham End Endorsement Deal",NA,"Business Day","2009-01-01 00:00:00"
"115","Merrill Lynch Settles Discrimination Suit",NA,"Business Day","2009-01-01 00:00:00"
"120","Judge Denies MGA’s Request on Bratz Dolls",NA,"Business Day","2009-01-01 00:00:00"
"121","Fitch May Cut Ratings of 2 Chemical Companies",NA,"Business Day","2009-01-01 00:00:00"
"126","Fannie Mae Seeks to Force Mortgage Buyback",NA,"Business Day","2009-01-01 00:00:00"
"131","GMAC Raises $21.2 Billion in Debt Swap",NA,"Business Day","2009-01-01 00:00:00"
"132","Early Data Shows Holiday Sales Fell 2.3%",NA,"Business Day","2009-01-01 00:00:00"
"137","Treasury Expands Possibilities for Aiding Auto Industry",NA,"Business Day","2009-01-01 00:00:00"
"139","For Buyout Firms, More Pain in 2009","Breakingviews.com","Business Day","2009-01-01 00:00:00"
"165","Colleges Profit as Banks Market Credit Cards to Students","The Debt Trap","Business Day","2009-01-01 00:00:00"
"172","Austria Weighs Overseer for Bank in Madoff Case",NA,"Business Day","2009-01-01 00:00:00"
"187","A Surge in Bicyclists Appears to Be Waiting",NA,"Business Day","2009-01-01 00:00:00"
"189","UBS Sells Its Stake in Bank of China",NA,"Business Day","2009-01-01 00:00:00"
"192","As Trade Slows, China Rethinks Its Growth Strategy",NA,"Business Day","2009-01-01 00:00:00"
"202","Markets Limp Into 2009 After a Bruising Year",NA,"Business Day","2009-01-01 00:00:00"
"205","Gazprom Set to Halt Gas Shipments to Ukraine",NA,"Business Day","2009-01-01 00:00:00"
"209","Oil Prices Rise on Inventory Report",NA,"Business Day","2009-01-01 00:00:00"
"216","Jobless Claims Fall; Holiday Cited",NA,"Business Day","2009-01-01 00:00:00"
"217","Chinese Court Convicts 11 in Microsoft Piracy Case",NA,"Business Day","2009-01-01 00:00:00"
"247","Extraordinary Numbers From a Dismal Year",NA,"Business","2009-01-01 00:00:00"
"311","U.S. Health Care Costs Part VII: Reining In Doctors Who Cost Too Much","Economix","Business Day","2009-01-02 13:12:54"
"313","Wine as an Economic Indicator","Economix","Business Day","2009-01-02 12:45:22"
"324","Talk to the Newsroom:<br />Jill Abramson, Managing Editor",NA,"Business Day","2009-01-02 09:41:00"
"344","2 Big Bank Deals Are Completed","DealBook","Business Day","2009-01-02 08:52:57"
"347","Madoff Investor's Suicide Leaves Questions","DealBook","Business Day","2009-01-02 08:20:59"
"348","Citi's Top Executives Forgo 2008 Bonuses","DealBook","Business Day","2009-01-02 07:54:04"
"349","Merrill Lynch Settles Discrimination Suit","DealBook","Business Day","2009-01-02 07:30:19"
"373","Oil Prices Begin the New Year by Slipping 4%",NA,"Business Day","2009-01-02 00:00:00"
"400","Contradictions in China, and the Rise of a Billionaire Family",NA,"Business Day","2009-01-02 00:00:00"
"402","Worldwide, a Bad Year Only Got Worse",NA,"Business Day","2009-01-02 00:00:00"
"403","Steel Industry, in Slump, Looks to Federal Stimulus",NA,"Business Day","2009-01-02 00:00:00"
"407","Citing Obama’s Win, European Ad Chief Is Hopeful",NA,"Business Day","2009-01-02 00:00:00"
"409","Capital Question for Small Nations","Breakingviews.com","Business Day","2009-01-02 00:00:00"
"413","Economy Blunts Korea’s Appetite for Plastic Surgery",NA,"Business Day","2009-01-02 00:00:00"
"424","Time Warner and Viacom Reach Agreement on Cable Shows",NA,"Business Day","2009-01-02 00:00:00"
"425","Australia: Stimulus Program Begins",NA,"Business Day","2009-01-02 00:00:00"
"426","Hungary: Quarterly Trade Deficit Grows",NA,"Business Day","2009-01-02 00:00:00"
"428","India: Exports Fall for a Second Month",NA,"Business Day","2009-01-02 00:00:00"
"429","Switzerland: Credit Suisse to Sell Stake",NA,"Business Day","2009-01-02 00:00:00"
"434","Madoff Investor’s Suicide Leaves Questions",NA,"Business Day","2009-01-02 00:00:00"
"437","As Recession Deepens, So Does Milk Surplus",NA,"Business Day","2009-01-02 00:00:00"
"440","LyondellBasell May Seek Chapter 11 Bankruptcy Protection",NA,"Business Day","2009-01-02 00:00:00"
"441","Going Straight to the Publisher for Ad Help",NA,"Business Day","2009-01-02 00:00:00"
"520","TODAY IN BUSINESS",NA,"Business","2009-01-02 00:00:00"
"637","Madoff Trustee Seeks Wide Power to Subpoena",NA,"Business Day","2009-01-03 00:00:00"
"642","Brazil’s Currency Falls as Trade Surplus Narrows",NA,"Business Day","2009-01-03 00:00:00"
"644","Sears to Suspend Matching Contributions to 401(k)’s",NA,"Business Day","2009-01-03 00:00:00"
"645","Two Units of ETrade Financial Fined $1 Million",NA,"Business Day","2009-01-03 00:00:00"
"647","H & R Block to Settle Marketing Case for $4.85 Million",NA,"Business Day","2009-01-03 00:00:00"
"649","Central Bank of Belarus Allows Currency to Fall 20%",NA,"Business Day","2009-01-03 00:00:00"
"651","Desperate Retailers Try Frantic Discounts and Giveaways",NA,"Business Day","2009-01-03 00:00:00"
"652","Drugstores, Too, Feel Recession Pain","Saturday Interview","Business Day","2009-01-03 00:00:00"
"684","Credit Card Companies Willing to Deal Over Debt",NA,"Business Day","2009-01-03 00:00:00"
"687","Oil Opens the Year by Moving Higher",NA,"Business Day","2009-01-03 00:00:00"
"691","Equity Partnership Is Formed to Buy Remnants of IndyMac Bank for $13.9 Billion",NA,"Business Day","2009-01-03 00:00:00"
"699","Stocks Rally to Start Year; Will January Be an Omen?","Stocks & Bonds","Business Day","2009-01-03 00:00:00"
"702","Some Forecasters See a Fast Economic Recovery",NA,"Business Day","2009-01-03 00:00:00"
"703","GMAC and G.M. Alter Finance Agreement",NA,"Business Day","2009-01-03 00:00:00"
"706","Austria Picks Overseer for Bank in Madoff Case",NA,"Business Day","2009-01-03 00:00:00"
"707","Manufacturing Reports Show Depth of Global Downturn",NA,"Business Day","2009-01-03 00:00:00"
"756","Economic Humor: No Longer an Oxymoron","Economix","Business Day","2009-01-04 17:17:28"
"757","Helping People Make Good Choices","Economix","Business Day","2009-01-04 16:45:01"
"770","Prize Deflation","Economix","Business Day","2009-01-04 08:40:12"
"775","Another Stimulus Idea: End Protectionism?","Economix","Business Day","2009-01-04 03:07:19"
"872","Should Congress Put a Cap on Executive Pay?","Economic View","Business Day","2009-01-04 00:00:00"
"874","Letters: What Will Artists Do?",NA,"Business Day","2009-01-04 00:00:00"
"876","Letters: Lessons in the Lyrics",NA,"Business Day","2009-01-04 00:00:00"
"879","Bright New Phone Displays That Don’t Guzzle Power","Novelties","Business Day","2009-01-04 00:00:00"
"881","Innovation Should Mean More Jobs, Not Less","Unboxed","Business Day","2009-01-04 00:00:00"
