"","pub_date","main","score"
"1","1991-01-01","Marine Unit Rehearses in Philippines Before Going to the Gulf",0
"2","1991-01-01","Barge Collision Spills Sewage Sludge Off Brooklyn",-0.333333333333333
"3","1991-01-01","Review/ Television; A TV Movie With a Familiar Ring",0.2
"4","1991-01-01","Transforming the Decade: 10 Critical Technologies; Perfect Conductors New Grids, Rails And Sensors",-0.1
"5","1991-01-01","Norman Rockwell, Less Memorably",0.25
"6","1991-01-01","Italian Network Bars Hussein Interview, Setting Off Dispute",-0.285714285714286
"7","1991-01-01","Transforming the Decade: 10 Critical Technologies; Genetic Redesign A New Ark Of Beasts and Crops",-0.3
"8","1991-01-01","Robin Rutherfurd Is Wed in Florida",0
"9","1991-01-01","INSIDE",0
"10","1991-01-01","Key Rates",0
"11","1991-01-01","Suspect Is Arrested 2d Time in 2 Weeks In Evers Murder Case",-0.285714285714286
"12","1991-01-01","U.S.-Soviet Polar Team To Drift On Ice Floe",0
"13","1991-01-01","After First Year a More Relaxed Dinkins",0.25
"14","1991-01-01","Julius A. Rippel, 89; Headed Foundation And Banking House",0
"15","1991-01-01","Andersen Kicks Saints Into Playoffs",0
"16","1991-01-01","Quayle Makes New Year's Visit to Troops in Gulf",0
"17","1991-01-01","Baker Likely to Visit Gulf Allies As Kuwait Deadline Approaches",0.375
"18","1991-01-01","Michigan St. Tops U.S.C.",0
"19","1991-01-01","Make Way for Bicycles, a Cleaner Way to Go; Toxics in Gasoline",0
"20","1991-01-01","Our Towns; Some Things Change in a Year; Some Never Do",0
"21","1991-01-01","Jets Gladly Celebrate Different Sort of Ending",0
"22","1991-01-01","Rose Bowl Overshadowed by Battle for the No. 1 Spot",-0.4
"23","1991-01-01","Baltimore's Bridges Becoming More Colorful",0
"24","1991-01-01","Quotation of the Day",0
"25","1991-01-01","The Price at the Pump: Quick Rise, Slow Fall",-0.166666666666667
"26","1991-01-02","Book Notes",0
"27","1991-01-02","INSIDE",0
"28","1991-01-02","Albanians Flee Across Border to Greece",-0.2
"29","1991-01-02","Economic Scene; Perestroika For Renters",0.25
"30","1991-01-02","Foe of Drunken Driving Stricken but Undaunted",-0.8
"31","1991-01-02","CHRONICLE",0
"32","1991-01-02","Do We Want to Be the Butchers of Baghdad?; Occupied or Annexed?",0
"33","1991-01-02","Food Notes",0
"34","1991-01-02","New Delhi Journal; In News-Hungary India, Videotapes Fill the Void",0
"35","1991-01-02","Despite All the Trouble, Some Issues Won Big",-0.2
"36","1991-01-02","J. J. Gross and Kufeld Complete Their Merger",0.25
"37","1991-01-02","Masters of Suspense, Saints Reach Playoffs",0.2
"38","1991-01-02","RESULTS PLUS",0
"39","1991-01-02","Washington Outlasts Fast-Finishing Iowa",0
"40","1991-01-02","The Knicks Play It By Tin Ear",0.25
"41","1991-01-02","13 Held in Kidnapping of Illegal Alien",-0.75
"42","1991-01-02","Shopping-a-Phobia",0
"43","1991-01-02","For a Gloomy Outlook, Hungarians Top All",-0.25
"44","1991-01-02","Top-Ranked Colorado Holds Off Notre Dame",0
"45","1991-01-02","Gamble Sparkles as Rebuilt Celtics Sprint to Top",0
"46","1991-01-02","After 5 Years, Case Against Former Mayor of San Diego Is Resolved",0.142857142857143
"47","1991-01-02","The Good Old Days",0.333333333333333
"48","1991-01-02","Georgia Tech Coasts to Finish Without a Loss",-0.166666666666667
"49","1991-01-02","Capitals Outshoot Devils",-0.333333333333333
"50","1991-01-02","New Life For 'Willows' In London",0
"51","1991-01-03","Slight Rent Dip No Reason to End Regulation",0
"52","1991-01-03","Wright House Plan Is Being Reweighed",0
"53","1991-01-03","Corrections",1
"54","1991-01-03","Navy Urges Aid to Aircraft's Makers",0.2
"55","1991-01-03","Study Finds Unfair Procedure in Sales of S.& L.'s in 1988",-0.4
"56","1991-01-03","INSIDE",0
"57","1991-01-03","Kenneth Youel, 89, Public Relations Aide",0.2
"58","1991-01-03","Iraqis in Kuwait Reported to Step Up Defenses",0
"59","1991-01-03","Retarded Woman at Center of Furor Has Baby",-0.2
"60","1991-01-03","Vehicle Sales Decline by 19.1% in Midmonth",-0.25
"61","1991-01-03","Access Is Sought To Secret Files In New Jersey",0.166666666666667
"62","1991-01-03","Packaging Becomes Critical In Luring Wary Consumers",-0.5
"63","1991-01-03","Germany Slow to Embrace Its Eastern Artists",0.2
"64","1991-01-03","Small Business Owners",0
"65","1991-01-03","BUSINESS DIGEST",0
"66","1991-01-03","Giants Take It Easy But Toughen Mentally",0.2
"67","1991-01-03","Bridge",0
"68","1991-01-03","A 'Prime Time' Journey On the Trail of Carlos",0.2
"69","1991-01-03","O.K., Flabby Press Corps, 32 Pushups for Uncle Sam",-0.166666666666667
"70","1991-01-03","Long Island Expressway to Get a Fourth Lane, for Ride Sharers",-0.25
"71","1991-01-03","Living for Folk Art, and in It, Too",0.666666666666667
"72","1991-01-03","Canceled Condo Plan Had Flaws From Start",-0.4
"73","1991-01-03","Providing Safety Measures for Skiers",0.75
"74","1991-01-03","Hills Is Closing 28 of 214 Stores",0
"75","1991-01-03","Redskins Shuffle Roster",0
"76","1991-01-04","Daniel M.C. Hopping",0
"77","1991-01-04","King to Leave Auburn",0
"78","1991-01-04","Fewer 'Brownies' May Mean Clogged Streets",-0.333333333333333
"79","1991-01-04","On Trial: A Videotape of a Disabled Girl's Day",-0.2
"80","1991-01-04","'Bonfire of Vanities' Is No Satire",-0.333333333333333
"81","1991-01-04","Fernandez To Propose A Furlough",0
"82","1991-01-04","Luke Appling, Ex-White Sox Star In the Hall of Fame, Is Dead at 83",0
"83","1991-01-04","Gretzky Scores Goal No. 700 as Kings Top Islanders",0
"84","1991-01-04","Jane Pauley Returns, on Sundays",0.25
"85","1991-01-04","Dispute Prompts Rudin to Quit Budget Panel",-0.166666666666667
"86","1991-01-04","CHRONICLE",0
"87","1991-01-04","Margaret Whiting Stylizes Songs From Several Eras",-0.166666666666667
"88","1991-01-04","Voyaging A Universe On Beams Of Light",0.25
"89","1991-01-04","Our Towns; 4 People Walking In the Darkness Toward Roselle",-0.166666666666667
"90","1991-01-04","Edmond Jabes, 78, Writer of Meditations",0.25
"91","1991-01-04","FINANCE BRIEFS",0
"92","1991-01-04","Sharp Rise In Claims By Jobless",-0.25
"93","1991-01-04","Movie Tickets Off 10%, but Not Gross",0
"94","1991-01-04","Cuomo Fosters New Opposition To Utility Rises",0.166666666666667
"95","1991-01-04","Nonprofit Hospitals To Justify Exemptions",0.25
"96","1991-01-04","William Davis, 68, of Times Co.; Founded and Edited Golf Digest",0
"97","1991-01-04","Lemieux Practices",0.5
"98","1991-01-04","Lakers Beat Blazers, 108-104",-0.333333333333333
"99","1991-01-04","Robinson a Big Challenge for Nets",-0.25
"100","1991-01-04","Godard Film Schedule",0
"101","1991-01-05","Best Products Seeks Chapter 11 Protection",0.6
"102","1991-01-05","Arthur F. Rense, Public Relations Executive, 74",-0.2
"103","1991-01-05","How to Avoid Phone Tie-Ups",-0.333333333333333
"104","1991-01-05","2 More Indictments Charge Corruption In South Carolina",-0.6
"105","1991-01-05","BRIEFS",0
"106","1991-01-05","E. A. Voyer Wed To Miss Laurent",-0.25
"107","1991-01-05","5 Banks Denied Insurance",-0.333333333333333
"108","1991-01-05","Testing a Race Horse On Muscle Efficiency",0
"109","1991-01-05","Tribune Suspends Publication",-0.333333333333333
"110","1991-01-05","Surgery for Seikaly",0
"111","1991-01-05","Bank of New England Sees Loss, Pushing It to the Brink of Failure",-0.375
"112","1991-01-05","Transactions",0
"113","1991-01-05","Two Insurers In Settlement",0
"114","1991-01-05","Tangled Phones and Flights As Cable and Tempers Snap",0
"115","1991-01-05","With Placing Stereo Speakers",0
"116","1991-01-05","Syracuse Tells Its Lawyers To Look Into Accusations",-0.2
"117","1991-01-05","The Labor Pacts: Go Back to the Table",0.25
"118","1991-01-05","Painful Memory",-0.5
"119","1991-01-05","Forbes Will End Publication of Egg Magazine in March",0.142857142857143
"120","1991-01-05","Rosalind W. Alcott, Investment Banker, 105",0
"121","1991-01-05","Panel Recommends a 4-Cent Rise in Postage Rate",0
"122","1991-01-05","Matthew R. Perkins, Restaurant Founder, 79",-0.25
"123","1991-01-05","Arun Rao, Executive, 39",-0.333333333333333
"124","1991-01-05","What New York Needs Is a Great Green Way Along the Hudson",0
"125","1991-01-05","Back Spasms Force Trevino To Pull Out of Tournament",0
"126","1991-01-06","Ms. Clark Weds R. D. Rosenbloom",0
"127","1991-01-06","Ms. Reynolds to Wed M. L. Robertson",0
"128","1991-01-06","Art of a City Hall Labor Deal: 11 Months of Agony",0
"129","1991-01-06","The Nation; Your Tired, Your Poor, Your Masses Yearning To Be With Relatives",-0.5
"130","1991-01-06","Choosing New Seeds for the New Year",0
"131","1991-01-06","Twelfth Night -- and All's Well",0.25
"132","1991-01-06","Ellen Berdy and S. B. Greenberg to Wed in Spring",0
"133","1991-01-06","Man, 42, Dies Trying to Save Dog in Icy Central Park Lake",0
"134","1991-01-06","Wine; Italian for Beginners",0
"135","1991-01-06",". . . And the Lord Taketh Away",0
"136","1991-01-06","Georgia Birmingham, Student, to Wed",0
"137","1991-01-06","Reviving 'the Little Nothing Dress'",0.25
"138","1991-01-06","Troubled Co-ops",-0.5
"139","1991-01-06","Worker Mistakenly Cut Phone Cable",-0.4
"140","1991-01-06","John Rote to Wed Nadine E. Noyer",0
"141","1991-01-06","France's Maverick Gulf Role",0
"142","1991-01-06","Spanish Cities Where Sherry Rules",0
"143","1991-01-06","Andrea Weiner Planning to Wed",0
"144","1991-01-06","Travel Advisory; Puerto Rico On $14 a Night",0.2
"145","1991-01-06","WHAT'S DOING IN: Ottawa",0
"146","1991-01-06","Buddy System Insults Cunningham",-0.25
"147","1991-01-06","...And of the Principles of Free Trade",0.666666666666667
"148","1991-01-06","Laili Radpour Is Wed To James Markert Jr.",0
"149","1991-01-06","Hands-On Public Relations",0
"150","1991-01-06","As Ireland Battles AIDS, the Church Is Called a Roadblock",0.166666666666667
"151","1991-01-07","Miss Edersheim Weds B. A. Tuckman",-0.25
"152","1991-01-07","Outdoors: Sea Duck Shooting Has Rough Rewards",-0.166666666666667
"153","1991-01-07","U.S.-Soviet Space Deal",0
"154","1991-01-07","Results Plus",0
"155","1991-01-07","Lori C. Berman Weds Gary D. Wolf on Long Island",0
"156","1991-01-07","For Rangers, 2 Goalies Are No. 1",0
"157","1991-01-07","Rome Journal; Retiring a Token Makes Big Issue of Small Change",-0.111111111111111
"158","1991-01-07","Economic Calendar",0.5
"159","1991-01-07","Noise Is Fine, but the Mud Is the Key",-0.25
"160","1991-01-07","Several Issues in This Week's U.S. Sale",-0.25
"161","1991-01-07","Morris County Sees Taxes Rise As Values Fall",-0.142857142857143
"162","1991-01-07","Bears Smother Saints",0
"163","1991-01-07","Founder Sells Agency",-0.333333333333333
"164","1991-01-07","Despite Economic Woes, 2 States Seek More School Spending",0.142857142857143
"165","1991-01-07","1950's Jingle Is Revived By Chock Full o'Nuts",0.4
"166","1991-01-07","The U.N. Today",0
"167","1991-01-07","Books of The Times; After the Thaw, le Carre Sums Up",0
"168","1991-01-07","I.B.M. Contract At Tax Agency",-0.25
"169","1991-01-07","The Czech Literati: Too Old to Be New, But New Nevertheless",0
"170","1991-01-07","Midlife Executive Crisis Shakes Ad Agency",-0.6
"171","1991-01-07","Publisher Takes On a Declining Paperback Market",-0.2
"172","1991-01-07","How About a G.I. Bill for Everyone?",0
"173","1991-01-07","NEWS SUMMARY",0
"174","1991-01-07","Review/Pop; 2 Guitarists, 2 Bands And 2 Divergent Styles",0
"175","1991-01-07","A Champion of the Sweet Tooth Is Closed",0.5
"176","1991-01-08","Sugar Group's Effort Draws Health Organization's Fire",0.142857142857143
"177","1991-01-08","Another Ominous Alarm in Moscow",-0.5
"178","1991-01-08","The Nativity Is Now Legal For Russians",0.25
"179","1991-01-08","Fred Fortess, 77, Dies; Authority on Fabrics",-0.2
"180","1991-01-08","India Reports I.M.F. Loan",0
"181","1991-01-08","East Side Man Charged With Killing His Wife",-0.166666666666667
"182","1991-01-08","Girl Who Nearly Froze to Death Leaves Hospital",0
"183","1991-01-08","Dimmer Outlook on Mideast Spurs Increase in Dollar",0
"184","1991-01-08","Lament for Hacks",-1
"185","1991-01-08","Bloom Office Chairman Is Asked to Step Down",0.2
"186","1991-01-08","Soviet Woes Tarnish Once-Shining Space Efforts",-0.166666666666667
"187","1991-01-08","Beene Gives His Regards to 7th Avenue",0.5
"188","1991-01-08","Books of The Times; Living a Life of Talent In a Land of Prejudice",0.142857142857143
"189","1991-01-08","Abducted Chinese Illegal Aliens Rescued",-0.2
"190","1991-01-08","John Bystrom, Pioneer In Satellites, Dies at 69",-0.2
"191","1991-01-08","Edward J. Geng, 59; Led Securities Concern",0
"192","1991-01-08","4 Gaza Arabs Give Up Deportation Appeals",0.4
"193","1991-01-08","Early On a Cold, Gray Day",-0.25
"194","1991-01-08","DEALS",0
"195","1991-01-08","For Contemporary Music, Times Are Hard",-0.25
"196","1991-01-08","Power Station Finally on Line",0
"197","1991-01-08","Japanese Cite Studio Offer",0.25
"198","1991-01-08","When Fire Companies Close, Anger Follows",-0.2
"199","1991-01-08","Jet Workers' Last Hopes Dashed by Announcement",0.166666666666667
"200","1991-01-08","No Lines Before 9 A.M. Outside Hartford Bank",-0.25
"201","1991-01-09","Parker Sues On Monopoly",0
"202","1991-01-09","MCA Agrees to Sell Interest In Yosemite to End Dispute",0
"203","1991-01-09","Winery's Answer to Critics: Print Good and Bad Reviews",-0.142857142857143
"204","1991-01-09","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA",0
"205","1991-01-09","C.D.'s and Bank Funds Off",0
"206","1991-01-09","Creditor Delay For Leventhol",-0.333333333333333
"207","1991-01-09","A-12 Decision Starts Scramble For Alternatives",0
"208","1991-01-09","Wider Access to U.S. Securities Price Data Urged",0.333333333333333
"209","1991-01-09","NATO Satellite Is Lofted",0
"210","1991-01-09","NEWS SUMMARY",0
"211","1991-01-09","Agassi Receives Record $25,000 Fine",0
"212","1991-01-09","Junket for Christmas",0
"213","1991-01-09","A 'New' Soviet Policy",0
"214","1991-01-09","Israel Ousts 4 Arabs Who Dropped Appeals",-0.2
"215","1991-01-09","Books of The Times; Setting the Outer Limits for Critics",-0.333333333333333
"216","1991-01-09","Book Notes",0
"217","1991-01-09","Ever Elusive, O'Neill Left His Mark",0
"218","1991-01-09","Food Notes",0
"219","1991-01-09","U.S. Logistical Effort Nears Peak in the Gulf",0
"220","1991-01-09","Dow Falls 13.36 in Slow Trading; Slide Moves to 5th Day",-0.142857142857143
"221","1991-01-09","Charles C. Kujawa, 70, Executive of Y.M.C.A.",-0.25
"222","1991-01-09","Philip K. Hills Jr.; Lawyer, 58",0
"223","1991-01-09","U.S. Petroleum Data",0
"224","1991-01-09","Marko Nikezic, Yugoslav Liberal Forced to Quit by Tito, Dies at 69",-0.25
"225","1991-01-09","RESULTS PLUS",0
"226","1991-01-10","Israel Vows to Respond to Attack",-0.25
"227","1991-01-10","Review/Music; The Spirited Elza Soares, a Legend of Brazil",0
"228","1991-01-10","Modernist Classic Is Gleaming Again",0.666666666666667
"229","1991-01-10","Company Devised AIDS Drug Test Partly as Sales Tool",0.25
"230","1991-01-10","David Hockney Is Back in Opera, With a Few Ifs, Ands and Buts",0.166666666666667
"231","1991-01-10","Informed Opinion",0
"232","1991-01-10","Death for a Dollar",-0.5
"233","1991-01-10","What Congress Should Tell Bush",0
