"","pub_date","main","V2"
"1","1989-01-01","Quotation of the Day",0
"2","1989-01-01","Sports of The Times; Some Postcards From 1988 Season",0
"3","1989-01-01","Ever So Humble",0.5
"4","1989-01-01","NORTHEAST JOURNAL",0
"5","1989-01-01","Spain's Paradors: Inns With a Touch of History",0
"6","1989-01-01","PAPERBACK BEST SELLERS: January 1, 1989",0.25
"7","1989-01-01","THE NATION: Darman's Task; The Time Is Coming To Design a Budget And Freeze Flexibly",0.222222222222222
"8","1989-01-01","Loose Ends",0
"9","1989-01-01","TRAVEL ADVISORY",0.5
"10","1989-01-01","NO ONE STAYS CLEAN IN WASHINGTON",0.25
"11","1989-01-01","Life With 'The Boys Next Door': Dignity Despite Disabilities",0
"12","1989-01-01","Cuomo's Words, Shoreham Deeds",0
"13","1989-01-01","Europe's Old Colonies Are Getting Anxious as 1992 Nears",-0.5
"14","1989-01-01","Why Rolls-Royce Loves Its Bentley Photos of Malcolm Hart, director of sales and marketing of Rolls Royce Motor Cars, with a Bentley Turbo R (NYT/Jonathan Player); working at the bottom of a car at the Crewe factory, which turns out Bentley and Rolls-Royce models; checking the hides (NYT); graph of number of Bentleys sold, 1970-1988* (*Estimate) (Source: Company reports)",0.027027027027027
"15","1989-01-01","NEW FEDERAL LAWS TAKE EFFECT TODAY",0.333333333333333
"16","1989-01-01","Jean Quinn Married to Dr. R. M. Alley",0.25
"17","1989-01-01","Will Reagan's Luck Outlast Reagan?",0.4
"18","1989-01-01","C. R. Cachera to Wed Laura G. S. Farrand",0
"19","1989-01-01","Brown-Bagging It to Buckingham",0
"20","1989-01-01","Answering the Mail",0
"21","1989-01-01","Some Dental Hygienists Seek Incentives",0
"22","1989-01-01","Another Vote For Shoeless Joe",0
"23","1989-01-01","A Mission: Hospital Care For the Poor",0.25
"24","1989-01-01","Drexel's Deal: Crime and Punishment, Costs and Benefits",-0.333333333333333
"25","1989-01-01","Outdoors; Quiet Comeback for Snowshoeing",0.25
"26","1989-01-02","Moscow Curbs Exports of Scarce Goods",0.2
"27","1989-01-02","Talks With Soviet Team",0
"28","1989-01-02","Hospitals See (Relatively) Calm New Year",0.333333333333333
"29","1989-01-02","Crown Andersen Inc reports earnings for Qtr to Sept 30",0
"30","1989-01-02","School, Police and Employee Groups Pool Money to Give to the Neediest",0.125
"31","1989-01-02","Nicholas Calas, a Poet And Art Critic, Was 81",0
"32","1989-01-02","Consul Restaurant Corp reports earnings for Qtr to Nov 30",0
"33","1989-01-02","Reagan and Environment: To Many, a Stalemate",-0.25
"34","1989-01-02","Shiite Rivals in Beirut Battle for Second Day",-0.333333333333333
"35","1989-01-02","Economic Calendar",0.5
"36","1989-01-02","Courageous Men",0.5
"37","1989-01-02","Reviews/Television; Tantalizing Tidbits About 'Gone With the Wind'",0
"38","1989-01-02","Wide Effect Seen From Trade Pact",0.2
"39","1989-01-02","Honduran Drops His Threat To Boycott Summit Meeting",0
"40","1989-01-02","The Phantom Old-Age Vote",0
"41","1989-01-02","Bridge",0
"42","1989-01-02","At Least 51 Die As Party Vessel Capsizes Off Rio",-0.333333333333333
"43","1989-01-02","Chief Justice Urges Increase In Federal Judges' Salaries",0.142857142857143
"44","1989-01-02","Shut Military Units May Go to Homeless",0
"45","1989-01-02","20 Years Ago, Three Men Circled the Moon",-0.166666666666667
"46","1989-01-02","Southern Co reports earnings for 12mo Nov 30",0
"47","1989-01-02","Washington Talk: Congress; Banking Chairmen Show Sharp Contrast in Styles",-0.111111111111111
"48","1989-01-02","Val d'Isere Journal; On to Olympian Glory, but at Too Steep a Price?",0.142857142857143
"49","1989-01-02","Compumed Inc reports earnings for Year to Sept 30",0
"50","1989-01-02","Conference Thrives by Cultivating Fans and Teams",0.6
"51","1989-01-03","Market for New Issues Fell Sharply in '88 Amid Investor Disenchantment",0
"52","1989-01-03","Use of Jailhouse Informers Reviewed in Los Angeles",0.5
"53","1989-01-03","Fetisov Tries Diplomacy in Quest to Join Devils",-0.166666666666667
"54","1989-01-03","Bruins, Led by Aikman, Win 7th Bowl in a Row",0
"55","1989-01-03","What's in a Japanese Name? For Many Women, Obscurity",-0.166666666666667
"56","1989-01-03","Shiite Militias Step Up Their Fight in Lebanon",-0.2
"57","1989-01-03","Iraq Said to Cut Oil Exports",-0.2
"58","1989-01-03","Books of The Times; The Familiar Evils of Hong Kong, Then and Now",0
"59","1989-01-03","William Haber, Who Directed Aid To Jewish Refugees, Is Dead at 89",-0.142857142857143
